,04.21,04.22,04.23,04.24,04.25,04.26,04.27,누적사망자수
미국,"783,290명","823,257명","837,947명","873,137명","890,524명","933,933명","963,168명","(54,810명)"
스페인,"200,210명","204,178명","208,389명","213,024명","219,764명","223,759명","207,634명","(23,190명)"
이탈리아,"181,228명","183,957명","187,327명","189,973명","192,994명","195,351명","197,675명","(26,644명)"
독일,"146,653명","148,291명","150,062명","153,129명","154,545명","156,418명","157,495명","(5,944명)"
영국,"124,743명","129,044명","133,495명","138,078명","143,464명","148,377명","152,840명","(20,732명)"
프랑스,"114,657명","117,324명","119,151명","120,804명","122,577명","124,114명","124,575명","(22,856명)"
터키,"90,980명","95,591명","98,674명","101,790명","104,912명","107,773명","110,130명","(2,805명)"
이란,"83,505명","84,802명","85,996명","87,026명","88,194명","89,328명","90,481명","(5,710명)"
중국,"82,758명","82,788명","82,798명","82,804명","82,816명","82,827명","82,830명","(4,633명)"
벨기에,"39,983명","40,956명","41,889명","42,797명","44,293명","45,325명","46,134명","(7,094명)"
캐나다,"35,383명","38,413명","38,923명","42,099명","42,739명","45,341명","45,778명","(2,489명)"
네덜란드,"33,405명","34,134명","34,842명","35,729명","36,535명","37,190명","37,845명","(4,475명)"
스위스,"27,944명","28,063명","28,268명","28,496명","28,677명","28,894명","29,061명","(1,337명)"
일본,"11,118명","11,496명","11,919명","12,388명","12,829명","13,182명","13,385명",(351명)
한국,"10,683명","10,694명","10,702명","10,708명","10,718명","10,728명","10,738명",(243명)
인도네시아,"6,575명","6,760명","7,135명","7,418명","7,775명","8,211명","8,607명",(720명)
필리핀,"6,259명","6,459명","6,599명","6,710명","6,981명","7,152명","7,294명",(494명)
태국,"2,792명","2,811명","2,826명","2,839명","2,854명","2,907명","2,922명",(51명)
베트남,268명,268명,268명,268명,268명,270명,270명,(0명)
